,Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
7567,Conjunto Comercial/Sala;Centro;0;0;0;405;16000;4742;1382
7568,Conjunto Comercial/Sala;Santo Cristo;0;5;0;1435;35888;;
7569,Conjunto Comercial/Sala;Centro;0;0;0;484;10000;7071;1745
7570,Apartamento;Barra da Tijuca;2;1;1;72;2000;1060;266
7571,Conjunto Comercial/Sala;Botafogo;0;1;0;235;11750;11000;3080
7572,Conjunto Comercial/Sala;Centro;0;2;0;56;2400;1500;
7573,Apartamento;Ipanema;3;1;2;100;7000;800;174
7574,Apartamento;Ipanema;2;1;0;68;2700;750;86
7575,Loja Shopping/ Ct Comercial;Barra da Tijuca;0;1;0;30;1000;2500;619
7576,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;11;0;500;22000;5500;1500
7577,Apartamento;Recreio dos Bandeirantes;2;2;1;95;2500;1180;2096
7578,Apartamento;Andaraí;1;1;0;60;1400;510;51
7579,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;28;500;540;
7580,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;27;1000;843;47
7581,Conjunto Comercial/Sala;Centro;0;0;0;47;1300;1006;203
7582,Apartamento;Ipanema;4;1;4;470;55000;7500;3200
7583,Apartamento;Barra da Tijuca;2;1;1;78;3000;900;145
7584,Apartamento;Copacabana;3;1;2;250;12000;1020;200
7585,Apartamento;Freguesia (Jacarepaguá);2;1;1;160;1850;1450;180
7586,Apartamento;Humaitá;3;2;1;100;4300;1545;297
7587,Apartamento;Jardim Sulacap;2;1;0;56;830;270;
7588,Conjunto Comercial/Sala;Ipanema;0;1;0;30;1399;744;112
7589,Loja/Salão;Campo Grande;0;14;0;349;20000;230;1148
7590,Apartamento;Ipanema;2;1;1;60;10000;2000;3600
7591,Apartamento;Engenho de Dentro;2;0;0;65;800;285;
7592,Apartamento;Botafogo;1;1;1;60;3800;1275;80
7593,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;36;2600;700;
7594,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;600;412;112
7595,Apartamento;Ipanema;3;1;1;140;7300;2900;500
7596,Conjunto Comercial/Sala;Botafogo;0;0;0;501;69600;15710;3100
7597,Apartamento;Copacabana;2;1;0;80;3500;1100;101
7598,Conjunto Comercial/Sala;Jacarepaguá;0;1;0;21;600;350;
7599,Casa;Jacarepaguá;3;2;1;239;3750;;
7600,Apartamento;Botafogo;4;2;3;161;4500;2298;501
7601,Conjunto Comercial/Sala;Tijuca;0;0;0;29;800;480;142
7602,Prédio Inteiro;Maracanã;0;200;0;5577;35000;;13400
7603,Conjunto Comercial/Sala;Centro;0;1;0;30;900;909;75
7604,Apartamento;Copacabana;2;0;1;70;4900;1500;550
7605,Apartamento;Ipanema;3;1;2;110;10000;750;230
7606,Conjunto Comercial/Sala;Centro;0;0;0;377;6000;;
7607,Apartamento;Recreio dos Bandeirantes;3;1;1;84;2000;750;205
7608,Apartamento;Ipanema;3;2;1;140;5000;2500;600
7609,Conjunto Comercial/Sala;Centro;0;1;0;360;7000;5700;1250
7610,Loja/Salão;Barra da Tijuca;0;3;0;207;11395;5589;2938
7611,Apartamento;Barra da Tijuca;4;3;4;225;7600;2800;530
7612,Conjunto Comercial/Sala;Ipanema;0;4;0;323;29000;7700;2000
7613,Quitinete;Botafogo;1;0;0;21;800;350;
7614,Casa de Condomínio;Campo Grande;2;1;0;55;1000;;
7615,Apartamento;Ipanema;3;0;1;110;6000;1050;320
7616,Apartamento;Copacabana;1;1;0;70;2500;765;
7617,Flat;Botafogo;1;1;0;50;2500;1250;
7618,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;150;5900;650;
7619,Galpão/Depósito/Armazém;Taquara;0;15;0;1200;27000;;1400
7620,Apartamento;Leme;2;0;0;88;3000;715;225
7621,Apartamento;Colégio;2;0;1;90;1000;;
7622,Apartamento;Barra da Tijuca;4;4;4;170;5900;918;6487
7623,Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;1202;90150;33055;4207
7624,Apartamento;Lagoa;3;2;1;117;7500;977;456
7625,Apartamento;Irajá;2;0;0;65;1000;260;
7626,Loja/Salão;Centro;0;0;0;130;3500;133;675
7627,Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;51;1700;953;
7628,Apartamento;Oswaldo Cruz;2;0;0;55;930;140;
7629,Casa de Condomínio;Recreio dos Bandeirantes;4;5;4;500;10500;1000;
7630,Apartamento;Ipanema;2;1;2;86;13300;;
7631,Apartamento;Laranjeiras;3;1;0;100;3500;785;115
7632,Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;0;0;22;750;378;85
7633,Apartamento;Barra da Tijuca;3;3;3;127;6900;2740;648
7634,Apartamento;Gávea;2;0;0;84;2700;768;132
7635,Apartamento;Lagoa;3;1;1;104;4500;1382;337
7636,Apartamento;Copacabana;1;0;0;36;1400;720;70
7637,Apartamento;Botafogo;3;2;1;120;3500;1150;264
7638,Apartamento;Lagoa;3;2;1;117;4900;1217;648
7639,Apartamento;Barra da Tijuca;3;3;2;267;12800;4400;10000
7640,Quitinete;Botafogo;1;0;0;28;1100;481;25
7641,Loja/Salão;Botafogo;0;0;0;463;33379;4687;
7642,Casa;Campo Grande;2;1;0;80;900;;
7643,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;40;850;1185;136
7644,Conjunto Comercial/Sala;Jardim Botânico;0;1;0;35;2300;1075;259
7645,Apartamento;Icaraí;4;3;2;150;2300;1917;
7646,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;54;3500;850;500
7647,Conjunto Comercial/Sala;Flamengo;0;0;0;220;7500;2500;1160
7648,Galpão/Depósito/Armazém;Pilares;0;0;0;220;2000;;180
7649,Apartamento;Freguesia (Jacarepaguá);2;0;0;58;1100;440;39
7650,Apartamento;Barra da Tijuca;3;2;1;145;4500;1500;380
7651,Apartamento;Leblon;4;2;2;250;17000;3500;1000
7652,Conjunto Comercial/Sala;Centro;0;2;0;300;20000;6500;1230
7653,Apartamento;Ipanema;3;1;1;240;10000;2810;519
7654,Quitinete;Copacabana;1;0;0;25;1000;385;
7655,Conjunto Comercial/Sala;Barra da Tijuca;0;6;0;245;20000;6495;1453
7656,Apartamento;Copacabana;2;1;0;67;2300;757;152
7657,Conjunto Comercial/Sala;Centro;0;12;0;2190;153318;;
7658,Apartamento;Barra da Tijuca;2;1;1;93;2500;1350;250
7659,Casa Comercial;Botafogo;0;1;0;118;10000;;627
7660,Conjunto Comercial/Sala;Centro;0;0;0;77;2850;1459;
7661,Quitinete;Botafogo;0;0;0;24;1100;417;
7662,Loft;Leblon;1;1;1;60;4700;2000;
7663,Apartamento;Barra da Tijuca;3;3;3;280;12000;2480;580
7664,Apartamento;Pechincha;2;1;1;69;1350;707;73
7665,Apartamento;Ipanema;3;1;1;150;4800;1400;252
7666,Apartamento;Lagoa;2;1;1;110;6900;1200;230
7667,Conjunto Comercial/Sala;Flamengo;0;0;0;34;1200;948;171
7668,Apartamento;Barra da Tijuca;3;2;3;170;6000;1700;
7669,Conjunto Comercial/Sala;Centro;0;1;0;392;25468;12147;1324
7670,Apartamento;Recreio dos Bandeirantes;3;1;1;72;1800;930;212
7671,Apartamento;Laranjeiras;3;4;1;150;5200;1100;10
7672,Apartamento;Centro;1;0;0;40;1300;400;
7673,Apartamento;Copacabana;2;0;1;100;2300;1340;159
7674,Apartamento;Barra da Tijuca;4;3;1;296;17000;5583;16622
7675,Apartamento;Barra da Tijuca;2;1;2;83;6500;;
7676,Loja/Salão;Barra da Tijuca;0;16;0;1200;96000;12900;17500
7677,Casa de Condomínio;Taquara;2;1;0;55;1000;450;
7678,Conjunto Comercial/Sala;Copacabana;0;0;0;25;1200;480;140
7679,Apartamento;Copacabana;3;1;1;104;3800;1115;220
7680,Conjunto Comercial/Sala;Centro;0;0;0;195;5500;1800;675
7681,Apartamento;Recreio dos Bandeirantes;3;2;1;97;1991;1050;
7682,Apartamento;Barra da Tijuca;1;1;0;68;2500;1300;
7683,Casa;Recreio dos Bandeirantes;4;3;1;316;4600;830;
7684,Casa;Jardim Botânico;4;4;3;450;20000;;1750
7685,Conjunto Comercial/Sala;Botafogo;0;17;0;757;102217;28394;
7686,Apartamento;Recreio dos Bandeirantes;3;2;2;187;3500;1500;
7687,Apartamento;Copacabana;3;1;0;100;4000;700;180
7688,Galpão/Depósito/Armazém;Guadalupe;0;0;0;5000;15000;;
7689,Quitinete;Estácio;0;0;0;15;700;;
7690,Apartamento;Leblon;1;1;0;30;3000;411;80
7691,Apartamento;Copacabana;3;1;0;100;3900;970;110
7692,Casa Comercial;Campo Grande;0;0;0;100;13000;;
7693,Conjunto Comercial/Sala;Centro;1;0;0;25;700;321;107
7694,Apartamento;Tijuca;2;0;0;80;1700;455;28
7695,Apartamento;Centro;1;1;0;52;1500;550;60
7696,Conjunto Comercial/Sala;Centro;0;1;0;585;52650;14625;2925
7697,Conjunto Comercial/Sala;Centro;0;0;0;50;1500;361;84
7698,Apartamento;Urca;2;0;1;100;4400;373;
7699,Apartamento;Botafogo;2;0;0;62;2800;790;
7700,Conjunto Comercial/Sala;Barra da Tijuca;0;6;0;179;9900;3468;1390
7701,Conjunto Comercial/Sala;Centro;0;0;0;38;600;554;79
7702,Galpão/Depósito/Armazém;Olaria;0;0;0;1676;15000;;2774
7703,Apartamento;Flamengo;2;1;1;87;2900;1400;350
7704,Conjunto Comercial/Sala;Copacabana;0;0;0;68;2000;1347;2701
7705,Galpão/Depósito/Armazém;Pavuna;0;20;0;7933;142799;49468;9609
7706,Apartamento;Humaitá;3;1;1;103;4000;1100;151
7707,Apartamento;Jardim Sulacap;1;0;0;72;880;;13
7708,Apartamento;Recreio dos Bandeirantes;3;2;1;85;2100;800;1900
7709,Casa de Condomínio;Barra da Tijuca;5;4;3;622;10000;1390;1486
7710,Apartamento;Tijuca;2;1;1;87;2800;950;164
7711,Apartamento;Copacabana;4;2;1;255;5900;1900;373
7712,Conjunto Comercial/Sala;Centro;0;18;0;2964;359632;77065;
7713,Apartamento;Barra da Tijuca;4;3;4;250;9500;3100;720
7714,Flat;Ipanema;2;2;2;90;7500;2494;312
7715,Conjunto Comercial/Sala;Barra da Tijuca;0;3;0;135;10000;4895;1500
7716,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;30;1350;900;150
7717,Apartamento;Ipanema;4;1;3;168;7000;2400;3067
7718,Conjunto Comercial/Sala;Centro;0;0;0;90;4000;2170;583
7719,Apartamento;Vargem Pequena;2;1;1;70;1800;857;
7720,Loja Shopping/ Ct Comercial;Freguesia (Jacarepaguá);0;1;0;70;3000;1464;312
7721,Conjunto Comercial/Sala;Ipanema;0;0;0;25;2200;460;27
7722,Conjunto Comercial/Sala;Barra da Tijuca;0;12;0;427;13000;14027;
7723,Apartamento;Santa Teresa;1;0;0;35;800;400;
7724,Conjunto Comercial/Sala;Tijuca;0;1;0;34;800;691;83
7725,Apartamento;Barra da Tijuca;3;2;3;104;2600;740;240
7726,Apartamento;Ipanema;3;1;1;102;4200;2095;485
7727,Loja/Salão;Botafogo;0;0;0;585;60000;90;450
7728,Apartamento;Flamengo;5;2;1;340;8700;2700;150
7729,Loja/Salão;Barra da Tijuca;0;10;0;1878;129600;22150;
7730,Loja Shopping/ Ct Comercial;Barra da Tijuca;0;1;0;29;2000;1044;371
7731,Conjunto Comercial/Sala;Centro;0;0;0;219;12000;3229;
7732,Conjunto Comercial/Sala;Barra da Tijuca;0;22;0;800;45000;29000;
7733,Apartamento;Leblon;3;2;1;130;6000;2360;597
7734,Conjunto Comercial/Sala;Copacabana;0;0;0;25;1200;523;168
7735,Apartamento;Maria da Graça;2;0;0;74;1100;300;118
7736,Apartamento;Centro;1;0;0;60;2000;500;
7737,Quitinete;Gardênia Azul;1;0;0;25;490;15;
7738,Apartamento;Barra da Tijuca;4;3;2;224;7600;2237;768
7739,Conjunto Comercial/Sala;Barra da Tijuca;0;5;0;180;12000;3600;1066
7740,Apartamento;Ipanema;7;5;7;800;30000;11000;
7741,Casa;Pechincha;2;0;1;60;1550;100;
7742,Apartamento;Ipanema;2;1;0;82;3500;850;90
7743,Apartamento;Copacabana;5;1;1;300;11000;2450;350
7744,Apartamento;Barra da Tijuca;4;4;4;370;22000;;
7745,Apartamento;Leme;3;1;1;100;4800;1000;200
7746,Loja/Salão;Braz de Pina;0;0;0;117;2350;;1421
7747,Loja/Salão;Vila Isabel;0;0;0;85;6500;;398
7748,Loja/Salão;Botafogo;0;0;0;20;500;575;
7749,Loja Shopping/ Ct Comercial;Leblon;0;0;0;20;1900;450;127
7750,Apartamento;Ipanema;1;0;0;35;1600;315;30
7751,Apartamento;Copacabana;3;1;1;145;5000;1576;24
7752,Apartamento;Barra da Tijuca;3;2;1;130;5000;2445;807
7753,Apartamento;Copacabana;2;0;0;45;3400;;
7754,Apartamento;Ilha do Governador;1;0;0;45;1000;355;20
7755,Conjunto Comercial/Sala;Centro;0;0;0;219;23000;5938;1303
7756,Casa Comercial;Urca;0;0;0;272;7000;;2225
7757,Apartamento;Lagoa;3;2;1;252;8800;1900;600
7758,Apartamento;Ipanema;2;1;1;80;15000;3600;
7759,Apartamento;Barra da Tijuca;2;2;1;168;2199;1600;
7760,Apartamento;Rio Comprido;2;1;1;75;1300;850;
7761,Conjunto Comercial/Sala;Pechincha;0;1;0;30;600;450;
7762,Casa de Condomínio;Barra da Tijuca;4;3;2;434;7500;2694;1150
7763,Apartamento;Barra da Tijuca;3;1;1;105;2500;1775;260
7764,Apartamento;Guaratiba;2;1;1;50;950;;
7765,Apartamento;Vila Isabel;2;1;1;86;1500;834;86
7766,Casa de Condomínio;Vargem Grande;5;3;5;300;6000;1300;200
7767,Apartamento;Ipanema;3;1;2;130;15000;1400;600
7768,Conjunto Comercial/Sala;Barra da Tijuca;0;6;0;165;6000;3000;900
7769,Casa;Taquara;3;1;1;106;2300;180;57
7770,Apartamento;Ipanema;3;1;1;105;4500;1427;239
7771,Conjunto Comercial/Sala;Freguesia (Jacarepaguá);0;1;0;42;1200;450;120
7772,Apartamento;Recreio dos Bandeirantes;3;2;3;144;3500;670;350
7773,Apartamento;Jacarepaguá;2;1;1;60;1450;500;
7774,Conjunto Comercial/Sala;Centro;0;0;0;54;1240;580;132
7775,Apartamento;Barra da Tijuca;2;1;1;63;1600;856;111
7776,Apartamento;Leblon;3;2;0;180;5000;3900;480
7777,Apartamento;Barra da Tijuca;3;2;1;141;4800;1785;
7778,Apartamento;Centro;2;0;0;75;2500;662;80
7779,Conjunto Comercial/Sala;Centro;0;0;0;40;900;432;
7780,Apartamento;Copacabana;2;1;2;160;4000;1350;
7781,Apartamento;Jacarepaguá;2;1;1;55;1500;450;50
7782,Apartamento;Grajaú;2;1;1;71;980;646;97
7783,Apartamento;Ipanema;4;2;1;160;7000;1750;
7784,Apartamento;Ipanema;3;1;1;160;7800;1317;493
7785,Apartamento;Tijuca;2;0;0;33;1500;641;25
7786,Apartamento;Jardim Botânico;2;1;1;90;4500;1500;338
7787,Apartamento;Recreio dos Bandeirantes;3;3;3;300;3200;1346;
7788,Conjunto Comercial/Sala;Centro;0;0;0;40;1200;620;211
7789,Apartamento;Freguesia (Jacarepaguá);2;1;1;78;1200;605;78
7790,Apartamento;Barra da Tijuca;1;1;1;67;1600;1641;358
7791,Apartamento;Copacabana;1;0;1;40;2800;500;
7792,Apartamento;Jardim Guanabara;1;1;0;65;1550;285;25
7793,Apartamento;Barra da Tijuca;3;2;1;96;2800;1200;10
7794,Apartamento;Leblon;4;2;4;200;10500;2710;1153
7795,Casa de Condomínio;Barra da Tijuca;5;4;4;622;10000;1390;1486
7796,Conjunto Comercial/Sala;Cidade Nova;0;10;0;1080;64800;30240;
7797,Apartamento;Vila Isabel;2;1;1;76;1500;840;71
7798,Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;16;7724;;
7799,Casa de Condomínio;Jacarepaguá;2;1;1;90;1700;208;35
7800,Conjunto Comercial/Sala;Campo Grande;0;0;0;50;2300;400;
7801,Apartamento;Grajaú;2;1;1;76;1300;940;
7802,Loja/Salão;Ipanema;0;0;0;200;30000;;1900
7803,Conjunto Comercial/Sala;Saúde;0;0;0;30;350;610;50
7804,Apartamento;Estácio;2;1;1;86;1700;840;120
7805,Apartamento;Rio Comprido;2;0;0;70;1500;240;13
7806,Conjunto Comercial/Sala;Ipanema;0;0;0;70;7500;2000;790
7807,Apartamento;Barra da Tijuca;3;2;3;110;2700;1485;262
7808,Apartamento;Barra da Tijuca;2;1;1;70;2000;990;
7809,Apartamento;Vila Valqueire;3;2;1;230;4500;610;2315
7810,Conjunto Comercial/Sala;Centro;0;0;0;35;450;360;
7811,Galpão/Depósito/Armazém;Penha Circular;0;0;0;9220;73000;;8349
7812,Loja/Salão;Leblon;0;3;0;300;40000;4584;
7813,Galpão/Depósito/Armazém;Manguinhos;0;2;0;250;4000;;
7814,Casa;Olaria;1;0;0;35;800;;
7815,Apartamento;Centro;1;0;0;56;1900;917;2004
7816,Apartamento;Maracanã;2;1;0;70;2000;600;
7817,Conjunto Comercial/Sala;Centro;0;0;0;100;1600;1979;335
7818,Conjunto Comercial/Sala;Centro;0;18;0;944;127440;31500;
7819,Apartamento;Copacabana;1;0;0;40;1500;;
7820,Galpão/Depósito/Armazém;Realengo;0;0;0;900;13000;;1050
7821,Loja/Salão;Barra da Tijuca;0;0;0;162;14231;2800;1305
7822,Apartamento;Copacabana;3;1;1;220;7700;;
7823,Apartamento;Botafogo;3;1;0;94;3000;1500;153
7824,Apartamento;Botafogo;3;1;1;105;5700;1353;281
7825,Apartamento;Barra da Tijuca;4;2;1;189;8000;2200;660
7826,Apartamento;Barra da Tijuca;3;2;2;216;10000;3809;1366
7827,Loja/Salão;Barra da Tijuca;0;1;0;100;4500;1490;2021
7828,Apartamento;Copacabana;1;1;0;50;2500;585;94
7829,Quitinete;Ipanema;1;0;0;30;2400;455;133
7830,Apartamento;Copacabana;1;1;0;40;2000;580;75
7831,Conjunto Comercial/Sala;Centro;0;0;0;698;41903;14743;3317
7832,Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;78;2980;1944;78820
7833,Apartamento;Recreio dos Bandeirantes;2;0;2;90;1400;900;170
7834,Quitinete;Centro;1;0;0;42;850;543;26
7835,Loja/Salão;Freguesia (Jacarepaguá);0;0;0;144;4800;;460
7836,Apartamento;Barra da Tijuca;1;1;0;40;3200;1680;
7837,Apartamento;Botafogo;3;1;1;101;4800;1340;341
7838,Casa;Gávea;0;0;0;160;15000;;426
7839,Apartamento;Jardim Botânico;3;2;2;147;4500;1496;374
7840,Apartamento;Ipanema;3;0;1;300;22000;4000;1980
7841,Apartamento;Barra da Tijuca;4;2;1;167;10000;2237;5700
7842,Apartamento;Ipanema;4;3;3;270;15000;3100;700
7843,Loja/Salão;Centro;0;0;0;208;5000;2670;530
7844,Apartamento;Leblon;2;1;2;125;10000;1275;290
7845,Apartamento;Ipanema;4;1;1;141;8000;1500;
7846,Conjunto Comercial/Sala;Botafogo;0;0;0;6;3276;;
7847,Galpão/Depósito/Armazém;Pavuna;0;17;0;2040;44880;12751;710
7848,Apartamento;Humaitá;4;3;2;215;8000;2900;750
7849,Apartamento;Botafogo;2;0;1;90;4500;940;189
7850,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;32;1200;440;125
7851,Apartamento;Barra da Tijuca;3;1;2;100;3200;1250;150
7852,Casa;Penha;1;0;0;27;800;;
7853,Apartamento;Ipanema;3;1;1;118;5900;980;250
7854,Apartamento;Copacabana;2;0;0;80;2200;655;100
7855,Apartamento;Recreio dos Bandeirantes;3;2;1;86;1400;626;
7856,Apartamento;Barra da Tijuca;4;3;4;160;6300;1800;
7857,Quitinete;Copacabana;1;0;0;21;1700;470;291
7858,Galpão/Depósito/Armazém;Bonsucesso;0;0;0;400;4500;;222
7859,Apartamento;Copacabana;3;0;0;113;2300;1100;
7860,Apartamento;Copacabana;1;0;1;40;1800;168;118
7861,Apartamento;Leblon;2;2;0;100;10000;1800;
7862,Apartamento;Ipanema;4;4;3;487;30000;5800;29445
7863,Conjunto Comercial/Sala;Curicica;0;1;0;17;950;290;
7864,Apartamento;Ipanema;3;1;1;176;6500;2500;350
7865,Apartamento;Inhaúma;2;1;0;48;800;370;
7866,Conjunto Comercial/Sala;Centro;0;0;0;21;600;305;101
7867,Apartamento;Copacabana;1;1;1;40;2500;748;670
7868,Apartamento;Penha;3;0;0;75;1100;185;
7869,Apartamento;Barra da Tijuca;2;1;1;70;2100;1269;212
7870,Apartamento;Bonsucesso;2;0;0;60;650;350;
7871,Apartamento;Engenho Novo;2;0;0;68;1200;310;48
7872,Apartamento;Recreio dos Bandeirantes;3;2;1;110;2200;700;2000
7873,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;31;1500;1094;507
7874,Conjunto Comercial/Sala;Centro;0;1;0;30;800;900;1477
7875,Apartamento;Gávea;3;1;0;88;3500;1682;226
7876,Conjunto Comercial/Sala;Centro;0;0;0;97;1500;2514;266
7877,Loja/Salão;Saúde;0;0;0;320;20000;;
7878,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;750;800;110
7879,Casa de Condomínio;Barra da Tijuca;6;8;0;924;13000;2214;1060
7880,Apartamento;Lagoa;3;0;1;140;8000;1564;430
7881,Apartamento;Barra da Tijuca;2;1;1;65;2500;665;
7882,Apartamento;Copacabana;1;0;0;50;2300;610;
7883,Conjunto Comercial/Sala;Barra da Tijuca;0;0;0;25;1800;700;
7884,Apartamento;Barra da Tijuca;4;3;4;300;4500;1980;
7885,Apartamento;Copacabana;2;0;1;140;7800;1300;198
7886,Apartamento;Recreio dos Bandeirantes;3;2;1;80;2100;800;1800
7887,Conjunto Comercial/Sala;Centro;0;0;0;301;10000;3442;927
7888,Casa de Vila;Vila Isabel;2;0;0;55;1500;30;21
7889,Conjunto Comercial/Sala;Centro;0;0;0;5;299;;
7890,Conjunto Comercial/Sala;Pechincha;0;1;0;28;900;269;489
7891,Apartamento;Maracanã;1;1;1;55;1700;566;84
7892,Casa de Condomínio;Barra da Tijuca;4;4;4;850;18009;1560;
7893,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;60;1600;1200;424
7894,Loja/Salão;Recreio dos Bandeirantes;0;0;0;70;6000;864;117
7895,Apartamento;Flamengo;3;0;0;117;2500;600;200
7896,Quitinete;Flamengo;1;0;0;20;1400;360;27
7897,Loja/Salão;Cinelândia;0;0;0;95;1500;1250;354
7898,Apartamento;Botafogo;2;1;1;60;2500;1500;200
7899,Conjunto Comercial/Sala;Barra da Tijuca;0;23;0;937;84339;9839;4216
7900,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;600;600;100
7901,Apartamento;Centro;2;0;0;90;2100;570;40
7902,Casa de Condomínio;Joá;6;3;5;300;25000;;
7903,Casa;Campo Grande;2;0;0;100;1500;;
7904,Conjunto Comercial/Sala;Copacabana;0;0;0;36;1500;570;100
7905,Apartamento;Barra da Tijuca;4;4;4;276;8300;1550;
7906,Apartamento;Centro;2;0;0;56;1800;544;51
7907,Casa;Vaz Lobo;1;0;0;30;400;;
7908,Apartamento;Copacabana;3;1;2;120;6700;;
7909,Flat;Recreio dos Bandeirantes;2;1;2;160;2500;750;200
7910,Apartamento;Laranjeiras;1;0;0;55;2500;450;
7911,Conjunto Comercial/Sala;Centro;0;0;0;414;17300;7534;1300
7912,Apartamento;Campo Grande;2;1;0;50;780;120;
7913,Casa de Condomínio;Barra da Tijuca;8;4;4;986;15000;1543;2082
7914,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;41;1000;1259;267
7915,Apartamento;Leme;2;0;0;85;3800;690;
7916,Apartamento;Campo Grande;2;0;0;50;700;;
7917,Conjunto Comercial/Sala;Centro;0;0;0;32;490;850;146
7918,Apartamento;Tijuca;3;2;1;125;2850;970;150
7919,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;35;1300;1005;320
7920,Apartamento;Jardim Botânico;3;2;1;111;4100;1180;292
7921,Apartamento;Recreio dos Bandeirantes;2;1;1;60;2100;1200;150
7922,Casa de Vila;Ipanema;3;2;0;130;6000;;190
7923,Apartamento;Barra da Tijuca;3;2;3;240;5000;1620;357
7924,Conjunto Comercial/Sala;Botafogo;0;3;0;126;11000;4834;
7925,Quitinete;Centro;0;0;0;32;600;401;25
7926,Apartamento;Bento Ribeiro;2;2;0;69;1500;450;
7927,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;27;1600;773;
7928,Conjunto Comercial/Sala;Centro;0;0;0;190;12600;4712;1044
7929,Prédio Inteiro;Botafogo;0;13;0;1200;63000;;6060
7930,Apartamento;Recreio dos Bandeirantes;3;2;1;113;2900;981;27
7931,Conjunto Comercial/Sala;Curicica;0;1;0;17;950;290;
7932,Box/Garagem;Méier;0;1;0;0;250;;
7933,Casa de Vila;Engenho de Dentro;1;0;0;50;1000;90;
7934,Prédio Inteiro;Centro;0;0;0;5000;200000;;
7935,Apartamento;Copacabana;3;1;1;240;2600;944;517
7936,Casa de Condomínio;Barra da Tijuca;4;4;2;360;6500;1145;889
7937,Conjunto Comercial/Sala;Centro;0;0;0;38;1000;348;25
7938,Apartamento;Ipanema;2;0;1;120;5500;1800;200
7939,Apartamento;Ipanema;3;1;1;170;6500;2554;
7940,Conjunto Comercial/Sala;Cachambi;0;1;0;27;1100;;
7941,Apartamento;Flamengo;1;0;1;79;2500;570;1530
7942,Casa;Vicente de Carvalho;1;0;0;32;500;;
7943,Apartamento;Vila Isabel;3;0;0;75;1700;528;74
7944,Conjunto Comercial/Sala;Tijuca;0;2;0;50;2500;999;
7945,Conjunto Comercial/Sala;Centro;0;0;0;100;3000;3700;435
7946,Conjunto Comercial/Sala;Botafogo;0;2;0;543;45000;17000;
7947,Apartamento;Leblon;3;1;2;93;5000;1400;
7948,Apartamento;Barra da Tijuca;1;1;1;45;1300;900;50
7949,Apartamento;Vila Isabel;1;2;0;54;1200;479;48
7950,Conjunto Comercial/Sala;Botafogo;0;1;0;30;2500;561;110
7951,Conjunto Comercial/Sala;Centro;0;0;0;36;500;1100;112
7952,Casa de Condomínio;Barra da Tijuca;4;3;4;320;9000;500;5000
7953,Casa de Condomínio;Barra da Tijuca;4;3;2;410;8500;870;8100
7954,Apartamento;Barra da Tijuca;2;2;1;111;4500;1600;300
7955,Terreno Padrão;Campo Grande;0;0;0;7000;180000;;
7956,Conjunto Comercial/Sala;Centro;0;0;0;1320;125362;31670;5146
7957,Conjunto Comercial/Sala;Centro;0;0;0;110;2800;1000;140
7958,Apartamento;Taquara;2;1;0;52;1100;672;
7959,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;25;500;575;1120
7960,Apartamento;Laranjeiras;2;0;0;80;1650;900;80
7961,Apartamento;Vila Isabel;2;0;0;69;1400;100;47
7962,Apartamento;Ipanema;3;2;1;170;8000;2000;532
7963,Apartamento;Vila Isabel;1;1;0;54;1800;682;49
7964,Galpão/Depósito/Armazém;Centro;0;0;0;2650;159000;;800
7965,Apartamento;Copacabana;4;0;1;60;3500;;
7966,Loja/Salão;Bangu;0;0;0;24;1800;;
7967,Apartamento;Laranjeiras;3;0;0;75;3200;652;110
7968,Apartamento;Barra da Tijuca;5;4;5;400;10000;1500;5000
7969,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;26;600;600;88
7970,Conjunto Comercial/Sala;Centro;0;0;0;90;6000;2181;349
7971,Apartamento;Leblon;1;0;0;35;2100;700;120
7972,Conjunto Comercial/Sala;Centro;0;0;0;36;500;860;
7973,Loja/Salão;Campo Grande;0;0;0;200;5000;;222
7974,Apartamento;Tijuca;3;1;1;170;3200;1100;180
