,Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
97,Apartamento;Barra da Tijuca;3;2;2;85;2500;1400;190
98,Apartamento;Todos os Santos;3;1;1;78;1450;630;73
99,Apartamento;Laranjeiras;2;1;0;54;2300;582;
100,Quitinete;Centro;0;0;0;30;800;505;
101,Apartamento;Jacarepaguá;2;1;1;69;2000;780;
102,Apartamento;Ipanema;3;1;1;120;7000;1800;370
103,Loja/Salão;Barra da Tijuca;0;0;0;36;5300;2114;839
104,Apartamento;Barra da Tijuca;2;1;1;78;2750;1300;138
105,Conjunto Comercial/Sala;Centro;0;0;0;95;3800;1688;392
106,Apartamento;Itanhangá;2;1;0;60;1000;450;150
107,Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400;1700;135
108,Conjunto Comercial/Sala;Centro;0;0;0;310;17050;5950;1917
109,Apartamento;Humaitá;2;1;0;86;4000;1259;188
110,Quitinete;Flamengo;0;0;0;28;1000;581;53
111,Apartamento;Barra da Tijuca;1;1;1;70;1700;870;143
112,Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;145;9000;6400;
113,Apartamento;Praça Seca;2;0;0;80;1000;;
114,Apartamento;Tijuca;2;1;0;80;1800;1100;84
115,Conjunto Comercial/Sala;Barra da Tijuca;0;2;0;142;4000;5024;12415
116,Conjunto Comercial/Sala;Botafogo;0;3;0;241;22000;9384;
117,Casa de Vila;Piedade;2;1;0;70;1300;;
118,Apartamento;Tijuca;3;1;0;172;2700;780;170
119,Apartamento;Freguesia (Jacarepaguá);4;3;2;261;2800;2535;3900
120,Galpão/Depósito/Armazém;Bonsucesso;0;10;0;13010;100000;;12000
121,Apartamento;Ipanema;3;1;1;145;8000;14768;4394
122,Apartamento;Olaria;2;1;0;53;1100;160;
123,Quitinete;Copacabana;1;0;0;29;1200;460;
124,Apartamento;Botafogo;2;1;1;83;2800;560;138
125,Apartamento;Botafogo;2;1;1;80;4300;1178;187
126,Apartamento;Lagoa;3;1;2;250;13900;2500;
127,Conjunto Comercial/Sala;Centro;0;0;0;40;1500;637;84
128,Conjunto Comercial/Sala;Centro;0;0;0;48;1400;729;157
129,Conjunto Comercial/Sala;Santo Cristo;0;64;0;4800;312000;92000;
130,Conjunto Comercial/Sala;Largo do Machado;0;0;0;30;800;592;162
131,Apartamento;Leblon;3;2;1;147;7500;1028;247
132,Apartamento;Copacabana;2;1;0;67;3500;950;160
133,Apartamento;Ipanema;3;1;1;150;25000;1616;4255
134,Apartamento;Barra da Tijuca;4;3;2;220;7500;3911;716
135,Apartamento;Catete;2;0;0;77;2400;1130;140
136,Conjunto Comercial/Sala;Centro;0;0;0;55;900;1240;240
137,Apartamento;Jardim Carioca;2;1;0;55;1350;430;47
138,Casa;Maracanã;8;3;5;259;7000;;
139,Apartamento;Leblon;3;1;0;85;3900;800;1211
140,Apartamento;Catete;2;0;0;75;3350;455;
